1,2,3,4,5,6,7,8,9,10
[c;+0:1]-[N;+0:2]>>O-[c;+0:1].[N;+0:2],[Br;+0:1]>>C-C(=O)-[Br;+0:1],[C;+0:4]=[C;+0:1]/[C;+0:2]-[C;+0:3]>>O=[C;+0:1]-[C;+0:2]-[C;+0:3].[C;+0:4]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[c;+0:1]1:[c;+0:2]:[c;+0:3]:[c;+0:4]:[n;+0:5]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]-[C;+0:4]=O.[N;+1:5],[C;+0:1]-[O;+0:4]-[C;+0:3]-[O;+0:2]>>O-[C;+0:1].[O;+0:2].[C;+0:3]=[O;+0:4],[O;+0:1]>>[O;+0:1]-C1-C-C-C-C-O-1,[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1]-[C;+0:2]=[O;+0:3],[O;+0:1]>>O-[O;+0:1],[C;+0:1]>>C-C(-C)(-C)-O-C(=O)-[C@;+0:1],[Br;+0:1]-[C;+0:2]>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[C;+0:2]
[C;+0:1]=[N;+0:2]-[S;+0:3]>>O=[C;+0:1].[N;+0:2]-[S@@;+0:3],[C;+0:2]-[C;+0:8]-[C;+0:10]1-[C;+0:7]-[C;+0:9]-[C;+0:5](-[C;+0:4])-[C;+0:6]-[C;+0:3]-1-[N;+0:11]-[C;+0:1]>>Cl-[C;+0:1].[C;+0:2]-[C;+0:3](-[C;+0:4])-[C;+0:5]1-[C;+0:6]-[C;+0:7]-[C;+0:8]-[C;+0:9]-[C;+0:10]-1-[N;+0:11],[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:1]1:[c;+0:2]:[n;+0:3]:[c;+0:4]:[s;+0:5]:1>>Br-[C;+0:1]-[C;+0:2]=O.[N;+0:3]-[C;+0:4]=[S;+0:5],[C;+0:1]-[N;+0:2]>>F-C(-F)(-F)-C(=O)-O-[C;+0:1].[N;+0:2],[O;+0:1]>>C-O-C-[O;+0:1],[C;+0:1]-[O;+0:2]>>C-C(-O-[C;+0:1]=[O;+0:2])-C(-C)=O,[C;+0:1]-[C;+0:2]=[O;+0:3]>>[C@;+0:1]-[C@@;+0:2]-[O;+0:3],[B;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[B;+0:1])-O-C-1(-C)-C.Cl-[c;+0:2],[Cl;+0:3]-[C;+0:1]-[C;+0:2]-[Cl;+0:4]>>[C;+0:1]=[C;+0:2].[Cl;+0:3]-[Cl;+0:4]
[c;+0:1]-[N;+0:3]-[C;+0:2]>>Br-[c;+0:1].[C;+0:2]-[N;+0:3],[C;+0:2]-[C;+0:1]-[N;+0:3]>>O-[C;+0:1]-[C@;+0:2].[N;+0:3],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C1(-C)-O-B(-[C;+0:2])-O-C-1(-C)-C,[c;+0:4]1:[c;+0:5]:[n;+0:1]:[n;+0:2]:[n;+0:3]:1>>C-[Si](-C)(-C)-[N;+0:1]=[N;+1:2]=[N;-1:3].[C;+0:4]#[C;+0:5],[C;+0:1]-[N;+0:2]>>C-C-O-[C;+0:1].[N;+0:2],[C;+0:2]-[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1]-[C@@;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C@;+0:1]-[C;+0:2]=[O;+0:3],[C;+0:1]=[O;+0:2]>>[C@;+0:1]-[O;+0:2],[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].[N;-1:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1]=[C;+0:2].[O;+0:3]
[c;+0:1]-[S;+0:2]>>I-[c;+0:1].[S;+0:2],[C;+0:1]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2],[C;+0:1]-[c;+0:2]>>C-N(-C)-[C;+0:1].Cl-[c;+0:2],[N;+0:2]=[C;+0:1]-[c;+0:3]>>O=[C;+0:1]-[N;+0:2].[c;+0:3],[C;+0:1]-[N;+0:2]>>C-O-[C;+0:1].[N;+0:2],[C;+0:1]=[O;+0:2]>>C1-C-O-[C;+0:1]-[O;+0:2]-C-1,[O;+0:1]>>C-C-C-C-C-C-C-O-c1:c:c:c(-C(=O)-[O;+0:1]):c:c:1,[N;+1:2]-[O;-1:1]>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[N;+0:2],[C;+0:1]>>I-[C;+0:1],[Br;+0:1]-[C;+0:2]-[C;+0:3]>>[Br;+0:1].[C;+0:2]=[C;+0:3]
[c;+0:1]:[n;+0:2]>>O=[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:4]-[C;+0:3]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-[C;+0:3]-[N;+0:4],[C;+0:1]-[c;+0:2]>>Br-[C;+0:1].Cl-[c;+0:2],[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:4]:[n;+0:5]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;+0:2],[C;+0:1]>>C-[Si](-C)(-C)-[C;+0:1],[C;+0:1]-[C;+0:2]-[N;+0:3]=[C;+0:4]>>[c;+0:1]:[c;+0:2]:[n;+0:3]:[c;+0:4],[c;+0:1]:[c;+0:2]:[c;+0:3]:[c;+0:4]:[c;+0:5]=[O;+0:6]>>[C;+0:1]=[C;+0:2]-[c;+0:3]:[c;+0:4]-[C;+0:5]-[O;+0:6],[B;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[B;+0:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:2],[C;+0:1]-[C;+0:2]-[Cl;+0:3]>>[C;+0:1]=[C;+0:2].[Cl;+0:3]
[O;+0:2]-[c;+0:1]>>O-B(-O)-[c;+0:1].[O;+0:2],[c;+0:1]:[n;+0:4]:[n;+0:3]:[c;+0:2]>>C-C-O-[C;+0:1].[C;+0:2]=[N;+0:3]-[N;+0:4],[C;+0:1]-[C;+0:2]-[c;+0:3]>>[C;+0:1]=[C;+0:2].[c;+0:3],[O;+0:2]-[c;+0:1](:[n;+0:5]):[c;+0:3]:[c;+0:4]:[c;+0:6]>>C-C-O-[C;+0:1](=[O;+0:2])-[C;+0:3]-[C;+0:4]=O.[N;+0:5].[c;+0:6],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+0:2],[O;+0:1]>>C-C(-C)-[Si](-[O;+0:1])(-C(-C)-C)-C(-C)-C,[N;+0:1]>>O=[N;+0:1],[O;+0:1]=[S;+0:2]>>O-[O;+0:1].[S;+0:2],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-[C;+0:1].[N;+1:2],
[C;+0:1]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2],[C;+0:1]-[N;+0:2]>>C=C1-C-N-C(-O-[C;+0:1])-O-1.[N;+0:2],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C(-C)-O-B(-[C;+0:2])-O-C(-C)-C,[C;+0:1]-[N;+0:3]-[N;+0:4]=[C;+0:2]>>Cl-[C;+0:1].O=[C;+0:2].[N;+0:3]-[N;+0:4],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N;+0:2],[O;+0:1]>>C-C-[O;+0:1],[C;+0:1]-[C;+0:2]-[N;+0:3]>>[C;+0:1]-[C;+0:2]#[N;+0:3],[O;-1:1]-[n;+1:2]>>C-C(=O)-O-[O;+0:1].[n;+0:2],[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;+1:2],
[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].[N;-1:2],[S;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[S;+0:1].[C;+0:2]-[N;+0:3],[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2],[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:5]:[n;+0:4]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]-[N;+0:5],[C;+0:1]-[n;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[n;+0:2],[C;+0:2]-[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1]-[C;+0:2],[C;+0:1]-[C;+0:2]>>[C;+0:1]=[C;+0:2],[O;+0:1]=[S;+0:2]>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[S;+0:2],[O;+0:1]-[B;+0:2]-[O;+0:3]>>C-C1(-C)-[C@@H]2-C-[C@@H]3-[O;+0:1]-[B;+0:2]-[O;+0:3]-[C@@]-3(-C)-[C@H]-1-C-2,
[c;+0:1]-[S;+0:2]>>Br-[c;+0:1].[S;+0:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1].[N;+1:2],[C;+0:4]=[C;+0:3]-[C;+0:2]-[O;+0:1]>>C-C-C(=O)-[O;+0:1]-[C;+0:2]-[C;+0:3].O=[C;+0:4],[C;+0:1]-[N;+0:3]-[C;+0:2]>>Br-[C;+0:1].Br-[C;+0:2].[N;+0:3],[C;+0:1]-[N;+0:3]-[C;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[C;+0:2]-[N;+0:3],[C;+0:2]-[O;+0:1]>>C-C(=O)-[O;+0:1]-[C;+0:2],[C;+0:1]1=[C;+0:2]-[C;+0:3]=[C;+0:4]-[C;+0:5]-[C;+0:6]-1>>[c;+0:1]1:[c;+0:2]:[c;+0:3]:[c;+0:4]:[c;+0:5]:[c;+0:6]:1,[C;+0:1]=[O;+0:2]>>[C;+0:1]-[O;+0:2],[Si;+0:1]>>Cl-[Si;+0:1],
[O;+0:1]=[P;+0:2]-[C;+0:3]>>C-C-[O;+0:1]-[P;+0:2].Cl-[C;+0:3],[C;+0:1]-[n;+0:2]>>Br-[C;+0:1].[n;+0:2],[C;+0:1]-[c;+0:2]>>I-[C;+0:1].O-B(-O)-[c;+0:2],[C;+0:2]-[n;+0:3]:[c;+0:1]:[n;+0:4]>>O-[C;+0:1]=O.[C@;+0:2]-[N;+0:3].[N;+0:4],[S;+0:2]-[C;+0:1]-[S;+0:3]>>O=[C;+0:1].[S;+0:2].[S;+0:3],[C;+0:1]-[N;+0:2]-[C;+0:3]-[C;+0:4]>>[C;+0:1]-[N;+0:2](-C-c1:c:c:c:c:c:1)-[C;+0:3]-[C;+0:4],[C;+0:1]-[O;+0:2]>>C-C(-C)-O-[C;+0:1]=[O;+0:2],[O;-1:1]-[n;+1:2]>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[n;+0:2],[B;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[B;+0:1])-O-C-1(-C)-C.I-[c;+0:2],
[C;+0:1]=[N;+0:2]-[S;+0:3]>>O=[C;+0:1].[N;+0:2]-[S@;+0:3],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>Br-[C@;+0:1].[C;+0:2]=[O;+0:3],[c;+0:1]:[c;+0:2]:[n;+0:3]>>[C;+0:1]#[C;+0:2].[N;+0:3],[C;+0:1]-[N;+0:4]-[C;+0:3]-[C;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[C;+0:2]-[C;+0:3]-[N;+0:4],[S;+0:1]>>C-N(-C)-C(=O)-[S;+0:1],[C;+0:1]-[N;+0:2]>>[C;+0:1]#[N;+0:2],[C;+0:1]=[O;+0:2]>>Br-[C;+0:1].C-[N+](-C)(-C)-[O;-1:2],[C;+0:1]-[N;+0:2]>>F-[C;+0:1].[N;-1:2],
[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;+1:2],[C;+0:1]-[N;+0:2]>>C-C-C-C-C-C-C-C-C-C-C-C-O-[C;+0:1].[N;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].[c;+0:2]-B1-O-C-C-C-O-1,[n;+0:4]:[c;+0:3]:[c;+0:2]:[c;+0:1]:[c;+0:5]>>C-O-[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4].[c;+0:5],[C;+0:1]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2],[n;+0:1]>>[n;+0:1]-C1-C-C-C-C-O-1,[O;+0:1]>>Cl-C-C(=O)-[O;+0:1],[C;+0:1]-[C;+0:2]=[O;+0:3]>>[C@@;+0:1]-[C@;+0:2]-[O;+0:3],[c;+0:1]>>F-[c;+0:1],
[c;+0:1]-[Sn;+0:2]>>Br-[c;+0:1].[Sn;+0:2],[C;+0:2]-[C;+0:1]-[N;+0:4]-[C;+0:3]>>O-[C;+0:1]-[C@;+0:2].[C@;+0:3]-[N;+0:4],[c;+0:2]-[c;+0:1]>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:2],[C;+0:1]-[N;+0:4]-[C;+0:2]-[C;+0:3]>>O-[C;+0:1].[C;+0:2]=[C;+0:3].[N;+0:4],[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-C(=O)-O-[C;+0:1].[N;+1:2],[C;+0:2]-[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1]-[C@;+0:2],[O;+0:1]>>C-O-c1:c:c:c2:c:c(-[C@@H](-C)-C(=O)-[O;+0:1]):c:c:c:2:c:1,[C;+0:1]=[O;+0:2]>>[C@@;+0:1]-[O;+0:2],[C;+0:1]>>O-[C@;+0:1],
[c;+0:1]:[s;+0:4]:[c;+0:3]:[c;+0:2]>>Cl-[c;+0:1].[C;+0:2]=[C;+0:3]-[S;+0:4],[C;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[C;+0:1].[C@@;+0:2]-[N;+0:3],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-B1-O-B(-C)-O-B(-[C;+0:2])-O-1,[C;+0:1]-[N;+0:3]-[C;+0:2]>>Br-[C;+0:1].Cl-[C;+0:2].[N;+0:3],,[C;+0:16]-[C;+0:20]-[C;+0:2](-[C;+0:15]-[C;+0:18])-[N;+0:13]-[C;+0:12]-[N;+0:11]-[C;+0:10]-[c;+0:9]:[c;+0:8]:[c;+0:7]:[c;+0:6]-[C;+0:5]-[N;+0:4]1-[C;+0:3]-[C;+0:14](-[N;+0:1])-[C;+0:17]-[C;+0:19]-1>>C-C(-C)(-C)-O-C(=O)-[N;+0:1]-[C@;+0:2]1-[C;+0:3]-[N;+0:4](-[C;+0:5]-[c;+0:6]:[c;+0:7]:[c;+0:8]:[c;+0:9]-[C;+0:10]-[N;+0:11]-[C;+0:12]-[N;+0:13]-[C;+0:14](-[C;+0:15]-[C;+0:16])-[C;+0:17]-[C;+0:18])-[C;+0:19]-[C;+0:20]-1,[O;+0:1]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-[O;+0:1],[C;+0:1]-[C;+0:2]=[O;+0:3]>>[C@@;+0:1]-[C@@;+0:2]-[O;+0:3],[C;+0:1]-[N;+0:2]>>Cl-[C@;+0:1].[N;-1:2],
[C;+0:1]-[N;+0:2]>>O=[C;+0:1].[N;+1:2],[O;+0:1]>>O-C-C(=O)-N1-C-C-C(-C(=O)-[O;+0:1])-C-C-1,[C;+0:1]-[c;+0:2]>>Cl-[C;+0:1].[c;+0:2],[c;+0:2]:[n;+0:1]:[o;+0:3]>>C-C(=O)-O/[N;+0:1]=[C;+0:2].[O;+0:3],,[C;+0:3]-[C;+0:2]-[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1]-[C@@;+0:2]-[C;+0:3],[O;+0:1]>>C-C(-C)(-C)-C(=O)-[O;+0:1],[O;+0:1]=[S;+0:2]>>O=S(-[O-])-O-[O;+0:1].[S;+0:2],[I;+0:1]-[c;+0:2]>>I-C-[I;+0:1].N-[c;+0:2],
[C;+0:1]-[n;+0:2]>>C-S(=O)(=O)-O-[C@@;+0:1].[n;+0:2],[C;+0:1]-[N;+0:2]>>Cl-C(-Cl)(-Cl)-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1]-[Mg+].[C;+0:2]=[O;+0:3],[C;+0:1]1-[C;+0:2]-[O;+0:3]-1>>C-[S+](-C)-[C;+0:1].[C;+0:2]=[O;+0:3],,[S;+0:1]>>C-C1(-C(=O)-[S;+0:1])-C-C-C-C-C-1,[C;+0:1]-[c;+0:2]:[c;+0:3]-[C;+0:4]=[C;+0:5]>>O=[c;+0:1]:[c;+0:2]:[c;+0:3]:[c;+0:4]:[c;+0:5],[O;+0:1]=[S;+0:2]>>Cl-c1:c:c:c:c:c:1-C(=O)-O-[O;+0:1].[S;+0:2],[O;+0:3]-[C;+0:1]-[C;+0:2]-[O;+0:4]>>O-[C;+0:1]-[C;+0:2]-O.[O;+0:3].[O;+0:4],
[C;+0:1]-[n;+0:2]>>Br-[C;+0:1].[n;+0:2],[C;+0:1]-[N;+0:2]>>I-C-C(=O)-O-[C;+0:1].[N;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].Cl-[c;+0:2],[O;+0:5]-[c;+0:3](:[n;+0:4]):[c;+0:2]:[c;+0:1]:[c;+0:6]>>O=[C;+0:1]-[C;+0:2]-[C;+0:3](-[N;+0:4])=[O;+0:5].[c;+0:6],,[O;+0:1]>>[O;+0:1]-C-c1:c:c:c:c:c:1,[O;+0:1]-[C;+0:2]-[C;+0:3]-[C;+0:4]-[C;+0:5]-[O;+0:6]>>[O;+0:1]=[C;+0:2]1-[C@;+0:3]-[C@;+0:4]-[C;+0:5]-[O;+0:6]-1,[O;+0:1]=[S;+0:2]>>O=C-O-[O;+0:1].[S;+0:2],[c;+0:1]>>Br-[c;+0:1],
[C;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[C;+0:1].[C@@;+0:2]-[N;+0:3],[C;+0:1]-[N;+0:2]>>C-C-C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>[C;+0:1].[C;+0:2]=[O;+0:3],[c;+0:1]:[c;+0:2]>>O=[C;+0:1].[C;+0:2],,[C;+0:1]-[N;+0:2]>>[C@@;+0:1]-[N;+0:2]-C-c1:c:c:c:c:c:1,[C;+0:1]-[C;+0:2]-[C;+0:3]>>[C;+0:1]=[C;+0:2]/[C@@;+0:3],[O;+0:2]=[N;+1:1]-[O;-1:3]>>[N;+0:1].[O;+0:2]-[O;+0:3],[c;+0:1]>>O-[c;+0:1],
[c;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[c;+0:1].[C@;+0:2]-[N;+0:3],[c;+0:1]:[n;+0:2]>>C-O-[C;+0:1].[N;+0:2],[c;+0:1]-[C;+0:2]>>Cl-[c;+0:1].[C;+0:2]-[Zn+],[c;+0:1]1:[c;+0:2]:[o;+0:5]:[n;+0:4]:[c;+0:3]:1>>[C;+0:1]#[C;+0:2].[C;+0:3]=[N;+0:4]-[O;+0:5],,[O;+0:1]>>C-C(-C)(-C)-[O;+0:1],[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]-[N;+0:5]-[C;+0:6]-1>>[c;+0:1]1:[c;+0:2]:[c;+0:3]:[c;+0:4]:[n;+0:5]:[c;+0:6]:1,,[S;+0:1]-[O;+0:2]>>Cl-[S;+0:1]=[O;+0:2],
[C;+0:2]-[C;+0:1]-[S;+0:3]>>Cl-[C;+0:1]-[C@;+0:2].[S;+0:3],[S;+0:1]-[N;+0:2]>>Cl-[S;+0:1].[N;+0:2],[c;+0:1]-[c;+0:2]>>C-C1(-C)-O-B(-[c;+0:1])-O-C-1(-C)-C.Cl-[c;+0:2],[n;+0:2]:[c;+0:1]:[n;+0:3]>>O-[C;+0:1]=O.[N;+0:2].[N;+0:3],,[O;+0:1]>>C-O-c1:c:c:c(-C-[O;+0:1]):c:c:1,[O;+0:1]>>O=C(-[O;+0:1])-c1:c:c:c(-[N+](=O)-[O-]):c:c:1,,[C;+0:1]-[N;+0:2]>>C-O-[C;+0:1].[N;+0:2],
[c;+0:1]:[n;+0:2]>>Br-[c;+0:1].[N;+0:2],[C;+0:1]-[O;+0:2]>>O-[C@;+0:1].[O;+0:2],[C;+0:1]-[c;+0:2]>>C-C-C-C-[Sn](-[C;+0:1])(-C-C-C-C)-C-C-C-C.I-[c;+0:2],[N;+0:2]-[c;+0:1](:[n;+0:3]):[n;+0:4]>>S=[C;+0:1]=[N;+0:2].[N;+0:3].[N;+0:4],,[n;+0:1]>>O=C(-[n;+0:1])-O-C-c1:c:c:c:c:c:1,[O;+0:1]>>F-C(-F)(-F)-C(=O)-[O;+0:1],,[B;+0:1]-[C;+0:2]>>C-C1(-C)-O-B(-[B;+0:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:2],
[c;+0:1]-[Sn;+0:2]>>Br-[c;+0:1].Cl-[Sn;+0:2],[C;+0:1]-[N;+0:2]>>C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[c;+0:2]>>Cl-[C;+0:1].I-[Zn]-[c;+0:2],[O;+0:1]1-[C;+0:2]-[C;+0:3]-1>>O-[O;+0:1].[C;+0:2]=[C;+0:3],,[N;+0:1]>>F-C(-F)(-F)-C(=O)-[N;+0:1],[O;+0:1]-[C;+0:2]-[c;+0:3]:[c;+0:4]-[C;+0:5]=[C;+0:6]>>[O;+0:1]=[c;+0:2]:[c;+0:3]:[c;+0:4]:[c;+0:5]:[c;+0:6],,[C;+0:1]>>Br-[C;+0:1],
