1,2,3,4,5,6,7,8,9,10
[c;+0:1]-[n;+0:2]>>Cl-[c;+0:1].[n;+0:2],[C;+0:1]-[N;+0:2]>>C-C-C-C-O-[C;+0:1].[N;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].C-[Sn](-C)(-C)-[c;+0:2],[n;+0:4]:[c;+0:3]:[c;+0:2]:[c;+0:1]:[c;+0:5]>>O=[C;+0:1]-[C;+0:2]=[C;+0:3].[N;+0:4].[c;+0:5],,[n;+0:1]>>C-C(-C)(-C)-O-C(=O)-[n;+0:1],[O;+0:1]>>C-O-c1:c:c:c(-C(=O)-[O;+0:1]):c:c:1,,[C;+0:1]#[N;+0:2]>>O=[C;+0:1]-[N;+0:2],
[O;+0:1]=[P;+0:2]-[O;+0:5]-[C;+0:4]=[C;+0:3]>>C-C-[O;+0:1]-[P;+0:2].Cl-[C;+0:3]-[C;+0:4]=[O;+0:5],[S;+0:1]-[O;+0:3]-[C;+0:2]>>Cl-[S;+0:1].[C;+0:2]-[O;+0:3],[C;+0:1]-[C;+0:2]>>Br-[C;+0:1].C-[Si](-C)(-C)-[C;+0:2],[c;+0:3]1:[c;+0:4]:[n;+0:2]:[n;+0:1]:[n;+0:5]:1>>F-C(-F)(-F)-S(=O)(=O)-N=[N;+1:1]=[N;-1:2].[C;+0:3]#[C;+0:4].[N;+0:5],,[N;+0:1]>>O=C1-[N;+0:1]-C(=O)-c2:c:c:c:c:c:2-1,[O;+0:1]>>Cl-c1:c:c:c:c(-C(=O)-[O;+0:1]):c:1,,[O;+0:1]-[B;+0:2]-[O;+0:3]>>C-C1(-C)-[O;+0:1]-[B;+0:2]-[O;+0:3]-C-1(-C)-C,
[N;+0:2]-[c;+0:1]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-O-[C;+0:1].[N;+0:2],[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-[Mg+],[c;+0:3]:[c;+0:2]:[c;+0:1]:[n;+0:4]>>O=[C;+0:1]-[C;+0:2].O=[C;+0:3].[N;+0:4],,[C;+0:1]=[O;+0:2]>>C-C-O-[C;+0:1]-[O;+0:2]-C-C,[C;+0:1]-[C;+0:2]>>[c;+0:1]:[c;+0:2],,[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N;-1:2],
[C;+0:1]-[O;+0:2]>>O-[C@;+0:1].[O;+0:2],[C;+0:3]-[C;+0:2]-[C;+0:1]-[N;+0:4]>>O-[C;+0:1]-[C;+0:2]-[C;+0:3].[N;+0:4],[C;+0:1]-[C;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].O-B(-O)-[C;+0:2],[c;+0:1]:[n;+0:4]:[c;+0:3]:[n;+0:2]>>C-O-[C;+0:1].[N;+0:2].O=[C;+0:3]-[N;+0:4],,[C;+0:2]-[N;+0:1]>>O=C(-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1)-[N;+0:1]-[C;+0:2],[C;+0:1]=[C;+0:2]1-[C;+0:3]-[C;+0:4]-[C;+0:5]=[C;+0:6]-1-[C;+0:7](=[N;+0:8])-[C;+0:9]=[N;+0:10]>>[c;+0:1]:[c;+0:2]1:[c;+0:3]:[c;+0:4]:[c;+0:5]:[c;+0:6]:1:[c;+0:7](:[n;+0:8]):[c;+0:9]:[n;+0:10],,[C;+0:1]-[C;+0:2]>>Cl-[C;+0:1].[C;+0:2]-[Cu],
[c;+0:1]-[S;+0:2]>>I-[c;+0:1].[S;-1:2],[S;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[S;+0:1].[C@@;+0:2]-[N;+0:3],[C;+0:1]=[C;+0:2]>>C=[C;+0:1].C=[C;+0:2],[c;+0:4]1:[n;+0:5]:[n;+0:3]:[n;+0:2]:[n;+0:1]:1>>C-[Si](-C)(-C)-[N;+0:1]=[N;+1:2]=[N;-1:3].[C;+0:4]#[N;+0:5],,[C;+0:2]-[N;+0:1]-[C;+0:3]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1](-[C@;+0:2])-[C@@;+0:3],[O;+0:1]>>C-C(=O)-O-[C@H](-C(=O)-[O;+0:1])-c1:c:c:c:c:c:1,,[C;+0:1]-[N;+0:2]>>I-[C;+0:1].[N;-1:2],
[c;+0:1]-[O;+0:3]-[C;+0:2]>>F-[c;+0:1].[C@@;+0:2]-[O;+0:3],[C;+0:1]-[N;+0:2]>>C-C(-Cl)-O-[C;+0:1].[N;+0:2],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-[Si](-C)(-C)-[C;+0:2],[n;+0:1]1:[c;+0:2]:[c;+0:3]:[c;+0:4]:[s;+0:5]:1>>[N;+0:1]-[C;+0:2]=[C;+0:3]-[C;+0:4]=[S;+0:5],,[O;+0:1]>>C-C(-C)-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1],[C;+0:1]>>O=[C;+0:1],,[C;+0:1]-[C;+0:2]>>Br-[C;+0:1].[C;-1:2],
[C;+0:1]-[n;+0:2]>>O-[C@@;+0:1].[n;+0:2],[N;+0:2]-[C;+0:1]-[n;+0:3]>>[C;+0:1]=[N;+0:2].[n;+0:3],[c;+0:1]-[c;+0:2]>>Cl-[c;+0:1].Cl-[c;+0:2],[C;+0:2]1-[C;+0:3]-[O;+0:1]-1>>O=S(-[O-])-O-[O;+0:1].[C;+0:2]=[C;+0:3],,[C;+0:2]-[N;+0:1]>>F-C(-F)(-F)-C(=O)-[N;+0:1]-[C@@;+0:2],[C;+0:1]-[C;+0:2]-[C;+0:3]=[N;+0:4]>>[c;+0:1]:[c;+0:2]:[c;+0:3]:[n;+0:4],,[C;+0:1]>>F-[C@@;+0:1],
[C;+0:1]-[N;+0:2]>>O-[C@;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]=[C;+0:5]-[C;+0:6]-1>>[C;+0:1]=[C;+0:2].[C;+0:3]=[C;+0:4]-[C;+0:5]=[C;+0:6],[c;+0:1]1:[n;+0:2]:[n;+0:5]:[n;+0:4]:[n;+0:3]:1>>[C;+0:1]#[N;+0:2].[N;-1:3]=[N;+1:4]=[N;-1:5],,[C;+0:1]=[O;+0:2]>>C-C1(-C)-C-O-[C;+0:1]-[O;+0:2]-C-1,[C;+0:1]1-[C;+0:2]-[N;+0:3]-[C;+0:4]-[C;+0:5]-[N;+0:6]-1>>[c;+0:1]1:[c;+0:2]:[n;+0:3]:[c;+0:4]:[c;+0:5]:[n;+0:6]:1,,[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;-1:2],
[C;+0:1]-[O;+0:3]-[C;+0:2]>>I-[C;+0:1].[C@@;+0:2]-[O;+0:3],[C;+0:1]-[N;+0:2]>>C-C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[c;+0:2]>>Br-[C;+0:1].Br-[c;+0:2],[n;+0:2]:[n;+0:3]:[c;+0:1]:[n;+0:4]>>O=[C;+0:1].[N;+0:2]-[N;+0:3].[n;+0:4],,[C;+0:2]-[N;+0:1]>>O=C1-[N;+0:1](-[C@;+0:2])-C(=O)-c2:c:c:c:c:c:2-1,[C;+0:1]=[C;+0:2]>>[C;+0:1]#[C;+0:2],,[c;+0:1]-[N;+0:2]>>F-[c;+0:1].[N;+0:2],
[c;+0:1]-[O;+0:2]>>Br-[c;+0:1].[O;+0:2],[c;+0:1]:[n;+0:4]:[c;+0:3]:[n;+0:2]>>C-C-O-[C;+0:1].[N;+0:2]=[C;+0:3]\[N;+0:4],[c;+0:1]-[c;+0:2]>>C-C-C-C-[Sn](-[c;+0:1])(-C-C-C-C)-C-C-C-C.Cl-[c;+0:2],[c;+0:5]:[c;+0:1]:[c;+0:2]:[c;+0:3]:[n;+0:4]>>O-[C;+0:1]-[C;+0:2](-O)-[C;+0:3]-O.[N;+0:4].[c;+0:5],,[N;+0:1]>>O=C(-[N;+0:1])-O-C-C1-c2:c:c:c:c:c:2-c2:c:c:c:c:c:2-1,[O;+0:1]>>C-C(-C)-C(=O)-[O;+0:1],,[C;+0:1]>>F-[C;+0:1],
[c;+0:1]-[S;+0:2]>>Br-[c;+0:1].[S;-1:2],[C;+0:1]-[N;+0:2]>>F-[C;+0:1].[N;+0:2],[C;+0:1]-[c;+0:2]>>Br-[C;+0:1].C-C1(-C)-O-B(-[c;+0:2])-O-C-1(-C)-C,[n;+0:1]:[c;+0:3]:[c;+0:4]:[c;+0:2]>>N-[N;+0:1].[c;+0:2].O=[C;+0:3]-[C;+0:4],,[C;+0:2]-[N;+0:1]>>O=C(-O-C-c1:c:c:c:c:c:1)-[N;+0:1]-[C;+0:2],[O;+0:1]-[C;+0:2]>>[O;+0:1]=[C;+0:2]-O-C-c1:c:c:c:c:c:1,,[Cl;+0:1]-[c;+0:2]>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].O-[c;+0:2],
[c;+0:1]:[n;+0:4]:[c;+0:3]:[n;+0:2]>>O=[C;+0:1].[N;+0:2]=[C;+0:3]-[N;+0:4],[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>Br-[Mg]-[C;+0:1].[C;+0:2]=[O;+0:3],[C;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[C;+0:1].Cl-[C;+0:2].[N;+0:3],,[C;+0:2]-[O;+0:1]>>C-[Si](-C)(-C)-[O;+0:1]-[C;+0:2],[C;+0:1]>>O=[c;+0:1],,[S;+0:1]>>Cl-[S;+0:1](=O)=O,
[c;+0:1]:[n;+0:4]:[n;+0:3]:[c;+0:2]>>F-[c;+0:1].[C;+0:2]=[N;+0:3]-[N;+0:4],[C;+0:1]-[N;+0:2]>>C-C-C-C-C-C-C-C-C(=O)-O-[C;+0:1].[N;+0:2],[c;+0:1]-[C;+0:2]-[O;+0:3]>>Br-[c;+0:1].[C;+0:2]=[O;+0:3],[c;+0:4]1:[n;+0:1]:[n;+0:2]:[n;+0:3]:[n;+0:5]:1>>C-C-C-C-[Sn](-C-C-C-C)(-C-C-C-C)-[N;+0:1]=[N;+1:2]=[N;-1:3].[C;+0:4]#[N;+0:5],,[C;+0:2]-[N;+0:1]>>O=C1-[N;+0:1](-[C;+0:2])-C(=O)-c2:c:c:c:c:c:2-1,[C;+0:2]-[O;+0:1]>>O-C(=O)/C=C/C=C/C=C/C=C/C(=O)-[O;+0:1]-[C@@;+0:2],,[N;+0:1]>>N-[N;+0:1],
[N;+0:2]-[c;+0:1]>>O-B(-O)-[c;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>C-C-C-C-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:1]=[C;+0:2]>>F-C(-F)(-F)-C-O-P(=O)(-[C;+0:1])-O-C-C(-F)(-F)-F.O=[C;+0:2],[C;+0:2]1-[C;+0:3]-[O;+0:1]-1>>Cl-c1:c:c:c:c(-C(=O)-O-[O;+0:1]):c:1.[C;+0:2]=[C;+0:3],,[C;+0:2]-[O;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;+0:1]-[C;+0:2],[C;+0:2]-[C;+0:1]-[O;+0:3]>>C-O-[C;+0:1](-[C@;+0:2])=[O;+0:3],,[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;+0:2],
[C;+0:1]-[O;+0:3]-[C;+0:2]>>Br-[C;+0:1].[C;+0:2]-[O;+0:3],[C;+0:1]-[O;+0:2]>>F-[C;+0:1].[O;+0:2],[c;+0:1]-[c;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:1]:[n;+0:3]:[n;+0:4]:[c;+0:2]>>Cl-[c;+0:1].O=[C;+0:2].[N;+0:3]-[N;+0:4],,[N;+0:1]>>[N;+0:1]-C(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[C;+0:1]-[O;+0:2]>>C-O-[C;+0:1]=[O;+0:2],,[C;-1:1]#[N;+1:2]>>O=[C;+0:1]-[N;+0:2],
[O;+0:1]=[P;+0:2]-[C;+0:3]>>C-C-[O;+0:1]-[P;+0:2].I-[C;+0:3],[C;+0:1]-[N;+0:2]>>Cl-C(-Cl)(-Cl)-O-[C;+0:1].[N;+0:2],[C;+0:1]-[c;+0:2]>>C-C(=O)-O-[C;+0:1].[c;+0:2],[c;+0:4]1:[n;+0:1]:[n;+0:2]:[n;+0:3]:[n;+0:5]:1>>C-[Sn](-C)(-C)-[N;+0:1]=[N;+1:2]=[N;-1:3].[C;+0:4]#[N;+0:5],,[N;+1:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[C;+0:1]-[O;+0:2]>>C-C(-C)(-C)-O-[C;+0:1]=[O;+0:2],,[C;+0:1]>>I-[C@@;+0:1],
[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;-1:2],[C;+0:1]-[N;+0:3]-[C;+0:2]>>O-[C;+0:1].[C@@;+0:2]-[N;+0:3],[C;+0:1]-[C;+0:2]>>Br-[C;+0:1].[C;+0:2]-[Mg+],[C;+0:1]1-[C;+0:2]-[O;+0:3]-1>>C-[S+](-C)(=O)-[C;+0:1].[C;+0:2]=[O;+0:3],,[N;+0:1]>>C-O-c1:c:c:c(-C-[N;+0:1]):c:c:1,[C;+0:1]1-[C;+0:2]-[N;+0:3]-[C;+0:4]-[C;+0:5]-[C;+0:6]-1>>[c;+0:1]1:[c;+0:2]:[n;+0:3]:[c;+0:4]:[c;+0:5]:[c;+0:6]:1,,[C;+0:1]=[C;+0:2]>>Br-[C;+0:1]-Br.O=[C;+0:2],
[c;+0:1]:[n;+0:2]>>Cl-[c;+0:1].[N;+0:2],[N;+0:2]-[C;+0:1]-[N;+0:3]>>[C;+0:1]=[N;+0:2].[N;+0:3],[C;+0:1]-[c;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;+0:1].O-B(-O)-[c;+0:2],[O;+0:2]-[c;+0:1](:[c;+0:6]):[c;+0:3]:[c;+0:4]:[n;+0:5]>>C-C-O-[C;+0:1](=[O;+0:2])-[C;+0:3]-[C;+0:4]=O.[N;+0:5].[c;+0:6],,[C;+0:1]-[O;+0:2]>>[C;+0:1]-[O;+0:2]-C1-C-C-C-C-O-1,[O;+0:1]>>Br-C-C-C-C-C(=O)-[O;+0:1],,[c;+0:1]>>I-[c;+0:1],
[C;+0:1]-[S;+0:2]>>I-[C;+0:1].[S;-1:2],[C;+0:2]-[C;+0:1]-[N;+0:3]>>O-[C;+0:1]-[C;+0:2].[N;+0:3],[c;+0:1]-[C;+0:2]>>Cl-[c;+0:1].[C;+0:2]-[Mg+],[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:4]:[c;+0:5]:[n;+0:6]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]=O.[N;+0:4]=[C;+0:5]-[N;+0:6],,[O;+0:1]>>C-C(=O)-[O;+0:1],[C;+0:1]1-[C;+0:2]-[C;+0:3]-[N;+0:4]-[C;+0:5]-[C;+0:6]-1>>[c;+0:1]1:[c;+0:2]:[c;+0:3]:[n;+0:4]:[c;+0:5]:[c;+0:6]:1,,[C;+0:2]-[Cl;+0:1]>>Cl-C(-Cl)(-Cl)-[Cl;+0:1].O-[C;+0:2],
[C;+0:1]-[S;+0:3]=[O;+0:2]>>I-[C;+0:1].[O;+0:2]-[S;+0:3],[C;+0:4]-[C;+0:3]-[N;+0:2]-[C;+0:1]-[N;+0:5]>>[C;+0:1]=[N;+0:2]-[C@;+0:3]-[C@@;+0:4].[N;+0:5],[C;+0:2]-[c;+0:1]>>Br-[c;+0:1].C=C-B1-O-B(-[C;+0:2])-O-B(-C=C)-O-1,[c;+0:1]:[s;+0:2]:[n;+0:3]>>[C;+0:1]=[S;+0:2].[N;+0:3],,[N;+0:1]>>O=C(-[N;+0:1])-c1:c:c:c:c:c:1,[O;+0:1]>>O=C(-[O;+0:1])-c1:c:c:c:c:c:1,,[Br;+0:1]-[C;+0:2]>>Br-C(-Br)(-Br)-[Br;+0:1].O-[C@@;+0:2],
[C;+0:1]-[O;+0:2]>>I-[C;+0:1].[O;+0:2],[C;+0:1]-[N;+0:2]>>C-O-N=C(-C(=O)-O-[C;+0:1])-c1:c:s:c(-N-C(-c2:c:c:c:c:c:2)(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):n:1.[N;+0:2],[C;+0:1]-[C;+0:2]-[O;+0:3]>>Cl-[C;+0:1].[C;+0:2]=[O;+0:3],[c;+0:1]1:[c;+0:2]:[o;+0:5]:[n;+0:4]:[c;+0:3]:1>>[C;+0:1]#[C;+0:2].[C;+0:3]=[N;+0:4]/[O;+0:5],,[n;+0:1]>>C-O-c1:c:c:c(-C-[n;+0:1]):c:c:1,[C;+0:1]-[O;+0:2]>>[C;+0:1]=[O;+0:2],,[C;+0:1]>>O=C(-[C@;+0:1])-O-C-c1:c:c:c:c:c:1,
[C;+0:1]-[N;+0:2]>>F-[C;+0:1].[N;+0:2],[S;+0:1]-[n;+0:2]>>Cl-[S;+0:1].[n;+0:2],[c;+0:2]-[C;+0:1]-[n;+0:3]>>O=[C;+0:1].[c;+0:2].[n;+0:3],[c;+0:1]1:[c;+0:2]:[n;+0:5]:[n;+0:4]:[n;+0:3]:1>>[C;+0:1]#[C;+0:2].[N;+0:3]=[N;+1:4]=[N;-1:5],,[O;+0:1]>>C-[O;+0:1],[O;+0:1]>>C-C-C-C(=O)-[O;+0:1],,[C;+0:2]-[C;+0:1]>>C-S(=O)(=O)-O-[C@@;+0:1].[C;-1:2],
[c;+0:1]:[n;+0:4]:[c;+0:3]:[n;+0:2]>>O=[C;+0:1].[N;+0:2]=[C;+0:3]\[N;+0:4],[C;+0:1]-[N;+0:3]-[C;+0:2]>>O-[C;+0:1].[C@;+0:2]-[N;+0:3],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].[c;+0:2]-B1-O-C-C-O-1,[c;+0:1]:[n;+0:4]:[c;+0:3]:[n;+0:2]>>C-C-O-[C;+0:1].[N;+0:2].O=[C;+0:3]-[N;+0:4],,[n;+0:1]>>O=C(-[n;+0:1])-c1:c:c:c:c:c:1,[O;+0:1]>>C-C(=O)-[O;+0:1],,[c;+0:1]>>Cl-[c;+0:1],
[C;+0:2]-[C;+0:1]-[N;+0:3]>>O=[C;+0:1]-[C@@;+0:2].[N;+0:3],[C;+0:1]-[N;+0:2]>>Cl-C-C(=O)-O-[C;+0:1].[N;+0:2],[c;+0:1]-[C;+0:2]>>Br-[c;+0:1].I-[C;+0:2],[c;+0:1]1:[n;+0:2]:[n;+0:3]:[n;+0:4]:[n;+0:5]:1>>[C;+0:1]#[N;+0:2].[N;-1:3]=[N;+1:4]=[N;-1:5],,[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[C;+0:1]-[C;+0:2]-[N;+0:3]>>[C;+0:1]-[C;+0:2]=[N;+0:3],,[C;+0:1]>>Br-[C@;+0:1],
[c;+0:1]-[S;+0:3]=[O;+0:2]>>Br-[c;+0:1].[O;-1:2]-[S;+0:3],[C;+0:1]-[n;+0:2]>>C-C(=O)-O-[C;+0:1].[n;+0:2],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].I-[c;+0:2],[C;+0:1]-[N;+0:3]-[C;+0:2]>>[C;+0:1]-O-[C;+0:2].[N;+0:3],,[O;+0:1]>>C-C-[Si](-[O;+0:1])(-C-C)-C-C,[C;+0:1]-[N;+0:2]>>[c;+0:1]:[n;+0:2],,[C;+0:1]-[C;+0:2]>>I-[C;+0:1].[C;+0:2]-[Cu],
[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;+0:2],[C;+0:1]-[N;+0:2]>>O=C(-O-[C;+0:1])-c1:c:c:c:c:c:1.[N;+0:2],[C;+0:1]-[c;+0:6]:[c;+0:5]:[c;+0:4]:[c;+0:3]-[O;+0:2]>>[C;+0:1]-[O;+0:2]-[c;+0:3]:[c;+0:4]:[c;+0:5]:[c;+0:6],[c;+0:1]1:[n;+0:2]:[n;+0:3]:[c;+0:4]:[o;+0:5]:1>>O=[C;+0:1]-[N;+0:2]-[N;+0:3]-[C;+0:4]=[O;+0:5],,[N;+0:1]>>C-C(=O)-[N;+0:1],[C;+0:1]-[O;+0:2]>>C-C-O-[C;+0:1]=[O;+0:2],,[C;+0:1]-[C;+0:2]>>C-S(=O)(=O)-O-[C;+0:1].[C;-1:2],
[c;+0:1]-[S;+0:3]=[O;+0:2]>>F-[c;+0:1].[O;-1:2]-[S;+0:3],[C;+0:1]-[N;+0:2]>>F-C(-F)-C(=O)-O-[C;+0:1].[N;+0:2],[C;+0:2]-[C;+0:1]-[N;+0:3]>>O=[C;+0:1].[C;-1:2].[N;+0:3],[C;+0:2]1-[C;+0:3]-[O;+0:1]-1>>C-C(=O)-O-[O;+0:1].[C;+0:2]=[C;+0:3],,[O;+0:1]=[C;+0:2]>>C1-C-[O;+0:1]-[C;+0:2]-O-1,[C;+0:1]-[C;+0:2]-[C;+0:3]>>[C;+0:1]=[C;+0:2]-[C;+0:3],,[C;+0:1]-[N;+0:2]>>C-C(-C)(-C)-O-[C;+0:1].[N;+0:2],
[c;+0:1]-[N;+0:3]-[C;+0:2]>>Cl-[c;+0:1].[C@@;+0:2]-[N;+0:3],[C;+0:1]-[C;+0:2]-[N;+0:3]>>[C@;+0:1]-[C;+0:2]-[O-].[N;+0:3],[c;+0:1]-[c;+0:2]>>Br-[c;+0:1].C-C1-O-B(-[c;+0:2])-O-C-1-C,[c;+0:1]1:[c;+0:2]:[c;+0:3]:[c;+0:4]:[n;+0:5]:1>>O=[C;+0:1]-[C;+0:2]-[C;+0:3]-[C;+0:4]=O.[N;+0:5],,[C;+0:1]=[O;+0:2]>>C-O-[C;+0:1]-[O;+0:2]-C,[C;+0:1]=[C;+0:2]-[C;+0:3]-[N;+0:4]>>[c;+0:1]:[c;+0:2]:[c;+0:3]:[n;+0:4],,[C;+0:1]>>C-O-C(=O)-[C;+0:1],
